sentence_id,system,system_type,source_gender,gender_F,profession1_position,correct,gender1_translated,stereotype1,gender2_translated,stereotype2,pronoun_recoverable,pronoun_gender
99,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
99,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
99,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
100,Google,NMT,male,0,4,1,m,-1,m,1,1,m
100,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
100,ChatGPT-4o,LLM,male,0,4,1,m,-1,f,-1,1,m
100,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
101,Google,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
101,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
101,ChatGPT-4o,LLM,female,1,1,0,m,1,m,-1,1,f
101,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
102,Google,NMT,male,0,4,1,m,-1,m,1,1,m
102,DeepL,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
102,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
102,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
103,Google,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
103,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
103,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
103,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
104,Google,NMT,male,0,6,1,m,-1,m,1,0,unrecoverable
104,DeepL,NMT,male,0,6,1,m,-1,m,1,1,m
104,ChatGPT-4o,LLM,male,0,6,0,f,1,m,1,1,m
104,DeepSeek-V3,LLM,male,0,6,1,m,-1,m,1,1,m
105,Google,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
105,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
105,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
105,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
106,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
106,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
106,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
106,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
107,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
107,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
107,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
107,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
108,Google,NMT,male,0,4,1,m,-1,m,1,1,m
108,DeepL,NMT,male,0,4,1,m,-1,m,1,1,m
108,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
108,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
109,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
109,DeepL,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
109,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
109,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
110,Google,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
110,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
110,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
110,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
111,Google,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
111,DeepL,NMT,female,1,1,0,m,1,m,-1,0,unrecoverable
111,ChatGPT-4o,LLM,female,1,1,0,m,1,m,-1,1,f
111,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,0,unrecoverable
112,Google,NMT,male,0,5,1,m,-1,m,1,0,unrecoverable
112,DeepL,NMT,male,0,5,1,m,-1,m,1,0,unrecoverable
112,ChatGPT-4o,LLM,male,0,5,1,m,-1,m,1,1,m
112,DeepSeek-V3,LLM,male,0,5,1,m,-1,m,1,1,m
113,Google,NMT,female,1,1,1,f,-1,f,1,1,f
113,DeepL,NMT,female,1,1,1,f,-1,m,-1,0,unrecoverable
113,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
113,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
114,Google,NMT,male,0,9,1,m,-1,m,1,1,m
114,DeepL,NMT,male,0,9,1,m,-1,m,1,1,m
114,ChatGPT-4o,LLM,male,0,9,0,f,1,m,1,1,m
114,DeepSeek-V3,LLM,male,0,9,1,m,-1,m,1,1,m
115,Google,NMT,male,0,7,0,f,1,m,1,0,unrecoverable
115,DeepL,NMT,male,0,7,0,f,1,m,1,0,unrecoverable
115,ChatGPT-4o,LLM,male,0,7,0,f,1,m,1,1,m
115,DeepSeek-V3,LLM,male,0,7,0,f,1,m,1,1,m
116,Google,NMT,female,1,1,0,m,1,f,1,1,f
116,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
116,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
116,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
117,Google,NMT,female,1,1,0,m,1,f,1,1,f
117,DeepL,NMT,female,1,1,0,m,1,f,1,1,m
117,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
117,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
118,Google,NMT,male,0,4,0,f,1,m,1,1,f
118,DeepL,NMT,male,0,4,0,f,1,m,1,1,m
118,ChatGPT-4o,LLM,male,0,4,0,f,1,m,1,1,m
118,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,1,m
119,Google,NMT,female,1,1,0,m,1,f,1,1,f
119,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
119,ChatGPT-4o,LLM,female,1,1,0,m,1,f,1,1,f
119,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
120,Google,NMT,male,0,6,0,f,1,m,1,1,m
120,DeepL,NMT,male,0,6,0,f,1,m,1,1,m
120,ChatGPT-4o,LLM,male,0,6,0,f,1,m,1,1,m
120,DeepSeek-V3,LLM,male,0,6,1,m,-1,m,1,1,m
